Date,Market,Open,Jodi,Close,day_of_week,is_weekend,open_sum,close_sum,mirror_open,mirror_close,reverse_jodi,is_holiday,prev_jodi_distance,Predicted_Open,Predicted_Close,Predicted_Pattis,Predicted_Jodis,Actual_Jodi,Matched
13/02/2021,Time Bazar,449,77,179,Saturday,1.0,17.0,17.0,994.0,624.0,77.0,0.0,7.0,,,,,,
14/02/2021,Time Bazar,124,75,447,Sunday,1.0,7.0,15.0,679.0,992.0,57.0,0.0,2.0,,,,,,
15/02/2021,Time Bazar,358,65,366,Monday,0.0,16.0,15.0,803.0,811.0,56.0,0.0,1.0,,,,,,
16/02/2021,Time Bazar,228,25,780,Tuesday,0.0,12.0,15.0,773.0,235.0,52.0,0.0,4.0,,,,,,
17/02/2021,Time Bazar,124,70,389,Wednesday,0.0,7.0,20.0,679.0,834.0,7.0,0.0,10.0,,,,,,
18/02/2021,Time Bazar,567,84,167,Thursday,0.0,18.0,14.0,12.0,612.0,48.0,0.0,5.0,,,,,,
19/02/2021,Time Bazar,157,37,340,Friday,0.0,13.0,7.0,602.0,895.0,73.0,0.0,8.0,,,,,,
20/02/2021,Time Bazar,259,60,389,Saturday,1.0,16.0,20.0,704.0,834.0,6.0,0.0,10.0,,,,,,
21/02/2021,Time Bazar,114,60,569,Sunday,1.0,6.0,20.0,669.0,14.0,6.0,0.0,0.0,,,,,,
22/02/2021,Time Bazar,778,28,279,Monday,0.0,22.0,18.0,223.0,724.0,82.0,0.0,12.0,,,,,,
23/02/2021,Time Bazar,369,86,880,Tuesday,0.0,18.0,16.0,814.0,335.0,68.0,0.0,8.0,,,,,,
24/02/2021,Time Bazar,190,02,228,Wednesday,0.0,10.0,12.0,645.0,773.0,20.0,0.0,12.0,,,,,,
25/02/2021,Time Bazar,350,88,378,Thursday,0.0,8.0,18.0,805.0,823.0,88.0,0.0,14.0,,,,,,
26/02/2021,Time Bazar,889,59,225,Friday,0.0,25.0,9.0,334.0,770.0,95.0,0.0,4.0,,,,,,
27/02/2021,Time Bazar,390,21,335,Saturday,1.0,12.0,11.0,845.0,880.0,12.0,0.0,11.0,,,,,,
28/02/2021,Time Bazar,139,38,800,Sunday,1.0,13.0,8.0,684.0,355.0,83.0,0.0,8.0,,,,,,
01/03/2021,Time Bazar,468,89,126,Monday,0.0,18.0,9.0,913.0,671.0,98.0,0.0,6.0,,,,,,
02/03/2021,Time Bazar,127,08,116,Tuesday,0.0,10.0,8.0,672.0,661.0,80.0,0.0,9.0,,,,,,
03/03/2021,Time Bazar,356,44,356,Wednesday,0.0,14.0,14.0,801.0,801.0,44.0,0.0,8.0,,,,,,
04/03/2021,Time Bazar,478,94,347,Thursday,0.0,19.0,14.0,923.0,892.0,49.0,0.0,5.0,,,,,,
05/03/2021,Time Bazar,680,40,389,Friday,0.0,14.0,20.0,135.0,834.0,4.0,0.0,9.0,,,,,,
06/03/2021,Time Bazar,347,48,260,Saturday,1.0,14.0,8.0,892.0,715.0,84.0,0.0,8.0,,,,,,
07/03/2021,Time Bazar,139,33,139,Sunday,1.0,13.0,13.0,684.0,684.0,33.0,0.0,6.0,,,,,,
08/03/2021,Time Bazar,225,95,690,Monday,0.0,9.0,15.0,770.0,145.0,59.0,0.0,8.0,,,,,,
09/03/2021,Time Bazar,236,13,139,Tuesday,0.0,11.0,13.0,781.0,684.0,31.0,0.0,10.0,,,,,,
10/03/2021,Time Bazar,258,56,600,Wednesday,0.0,15.0,6.0,703.0,155.0,65.0,0.0,7.0,,,,,,
11/03/2021,Time Bazar,590,48,134,Thursday,0.0,14.0,8.0,45.0,689.0,84.0,0.0,3.0,,,,,,
12/03/2021,Time Bazar,358,61,678,Friday,0.0,16.0,21.0,803.0,123.0,16.0,0.0,9.0,,,,,,
13/03/2021,Time Bazar,346,34,356,Saturday,1.0,13.0,14.0,891.0,801.0,43.0,0.0,6.0,,,,,,
14/03/2021,Time Bazar,588,17,278,Sunday,1.0,21.0,17.0,33.0,723.0,71.0,0.0,5.0,,,,,,
15/03/2021,Time Bazar,257,44,347,Monday,0.0,14.0,14.0,702.0,892.0,44.0,0.0,6.0,,,,,,
16/03/2021,Time Bazar,489,13,445,Tuesday,0.0,21.0,13.0,934.0,990.0,31.0,0.0,4.0,,,,,,
17/03/2021,Time Bazar,466,61,489,Wednesday,0.0,16.0,21.0,911.0,934.0,16.0,0.0,7.0,,,,,,
18/03/2021,Time Bazar,188,78,170,Thursday,0.0,17.0,8.0,633.0,625.0,87.0,0.0,8.0,,,,,,
19/03/2021,Time Bazar,790,60,479,Friday,0.0,16.0,20.0,245.0,924.0,6.0,0.0,9.0,,,,,,
20/03/2021,Time Bazar,338,42,688,Saturday,1.0,14.0,22.0,883.0,133.0,24.0,0.0,4.0,,,,,,
21/03/2021,Time Bazar,479,01,137,Sunday,1.0,20.0,11.0,924.0,682.0,10.0,0.0,5.0,,,,,,
22/03/2021,Time Bazar,160,78,990,Monday,0.0,7.0,18.0,615.0,445.0,87.0,0.0,14.0,,,,,,
23/03/2021,Time Bazar,447,53,238,Tuesday,0.0,15.0,13.0,992.0,783.0,35.0,0.0,7.0,,,,,,
24/03/2021,Time Bazar,177,54,257,Wednesday,0.0,15.0,14.0,622.0,702.0,45.0,0.0,1.0,,,,,,
25/03/2021,Time Bazar,700,77,458,Thursday,0.0,7.0,17.0,255.0,903.0,77.0,0.0,5.0,,,,,,
26/03/2021,Time Bazar,334,09,450,Friday,0.0,10.0,9.0,889.0,905.0,90.0,0.0,9.0,,,,,,
27/03/2021,Time Bazar,346,36,899,Saturday,1.0,13.0,26.0,891.0,344.0,63.0,0.0,6.0,,,,,,
28/03/2021,Time Bazar,Off,Off,Off,Sunday,1.0,,,,,,1.0,,,,,,,
29/03/2021,Time Bazar,Off,Off,Off,Monday,0.0,,,,,,1.0,,,,,,,
30/03/2021,Time Bazar,156,21,380,Tuesday,0.0,12.0,11.0,601.0,835.0,12.0,0.0,,,,,,,
31/03/2021,Time Bazar,144,92,156,Wednesday,0.0,9.0,12.0,699.0,601.0,29.0,0.0,8.0,,,,,,
01/04/2021,Time Bazar,456,55,348,Thursday,0.0,15.0,15.0,901.0,893.0,55.0,0.0,7.0,,,,,,
02/04/2021,Time Bazar,239,49,478,Friday,0.0,14.0,19.0,784.0,923.0,94.0,0.0,5.0,,,,,,
03/04/2021,Time Bazar,478,95,168,Saturday,1.0,19.0,15.0,923.0,613.0,59.0,0.0,9.0,,,,,,
04/04/2021,Time Bazar,144,97,368,Sunday,1.0,9.0,17.0,699.0,813.0,79.0,0.0,2.0,,,,,,
05/04/2021,Time Bazar,588,19,126,Monday,0.0,21.0,9.0,33.0,671.0,91.0,0.0,10.0,,,,,,
06/04/2021,Time Bazar,990,82,246,Tuesday,0.0,18.0,12.0,445.0,791.0,28.0,0.0,14.0,,,,,,
07/04/2021,Time Bazar,566,74,266,Wednesday,0.0,17.0,14.0,11.0,711.0,47.0,0.0,3.0,,,,,,
08/04/2021,Time Bazar,230,51,470,Thursday,0.0,5.0,11.0,785.0,925.0,15.0,0.0,5.0,,,,,,
09/04/2021,Time Bazar,389,07,133,Friday,0.0,20.0,7.0,834.0,688.0,70.0,0.0,11.0,,,,,,
10/04/2021,Time Bazar,129,27,340,Saturday,1.0,12.0,7.0,674.0,895.0,72.0,0.0,2.0,,,,,,
11/04/2021,Time Bazar,570,27,467,Sunday,1.0,12.0,17.0,25.0,912.0,72.0,0.0,0.0,,,,,,
12/04/2021,Time Bazar,360,95,456,Monday,0.0,9.0,15.0,815.0,901.0,59.0,0.0,9.0,,,,,,
13/04/2021,Time Bazar,890,77,368,Tuesday,0.0,17.0,17.0,345.0,813.0,77.0,0.0,4.0,,,,,,
14/04/2021,Time Bazar,588,13,300,Wednesday,0.0,21.0,3.0,33.0,855.0,31.0,0.0,10.0,,,,,,
15/04/2021,Time Bazar,789,42,589,Thursday,0.0,24.0,22.0,234.0,34.0,24.0,0.0,4.0,,,,,,
16/04/2021,Time Bazar,129,26,178,Friday,0.0,12.0,16.0,674.0,623.0,62.0,0.0,6.0,,,,,,
17/04/2021,Time Bazar,466,60,280,Saturday,1.0,16.0,10.0,911.0,735.0,6.0,0.0,10.0,,,,,,
18/04/2021,Time Bazar,445,36,259,Sunday,1.0,13.0,16.0,990.0,704.0,63.0,0.0,9.0,,,,,,
19/04/2021,Time Bazar,158,46,880,Monday,0.0,14.0,16.0,603.0,335.0,64.0,0.0,1.0,,,,,,
20/04/2021,Time Bazar,266,49,577,Tuesday,0.0,14.0,19.0,711.0,22.0,94.0,0.0,3.0,,,,,,
21/04/2021,Time Bazar,445,38,260,Wednesday,0.0,13.0,8.0,990.0,715.0,83.0,0.0,2.0,,,,,,
22/04/2021,Time Bazar,227,12,480,Thursday,0.0,11.0,12.0,772.0,935.0,21.0,0.0,8.0,,,,,,
23/04/2021,Time Bazar,156,20,389,Friday,0.0,12.0,20.0,601.0,834.0,2.0,0.0,3.0,,,,,,
24/04/2021,Time Bazar,580,37,223,Saturday,1.0,13.0,7.0,35.0,778.0,73.0,0.0,8.0,,,,,,
25/04/2021,Time Bazar,478,92,156,Sunday,1.0,19.0,12.0,923.0,601.0,29.0,0.0,11.0,,,,,,
26/04/2021,Time Bazar,123,65,456,Monday,0.0,6.0,15.0,678.0,901.0,56.0,0.0,6.0,,,,,,
27/04/2021,Time Bazar,455,40,118,Tuesday,0.0,14.0,10.0,900.0,663.0,4.0,0.0,7.0,,,,,,
28/04/2021,Time Bazar,479,05,780,Wednesday,0.0,20.0,15.0,924.0,235.0,50.0,0.0,9.0,,,,,,
29/04/2021,Time Bazar,140,53,166,Thursday,0.0,5.0,13.0,695.0,611.0,35.0,0.0,7.0,,,,,,
30/04/2021,Time Bazar,170,81,137,Friday,0.0,8.0,11.0,625.0,682.0,18.0,0.0,5.0,,,,,,
01/05/2021,Time Bazar,127,02,336,Saturday,1.0,10.0,12.0,672.0,881.0,20.0,0.0,9.0,,,,,,
02/05/2021,Time Bazar,124,75,348,Sunday,1.0,7.0,15.0,679.0,893.0,57.0,0.0,10.0,,,,,,
03/05/2021,Time Bazar,248,47,250,Monday,0.0,14.0,7.0,793.0,705.0,74.0,0.0,5.0,,,,,,
04/05/2021,Time Bazar,599,34,789,Tuesday,0.0,23.0,24.0,44.0,234.0,43.0,0.0,4.0,,,,,,
05/05/2021,Time Bazar,259,67,340,Wednesday,0.0,16.0,7.0,704.0,895.0,76.0,0.0,6.0,,,,,,
06/05/2021,Time Bazar,448,60,299,Thursday,0.0,16.0,20.0,993.0,744.0,6.0,0.0,7.0,,,,,,
07/05/2021,Time Bazar,129,26,466,Friday,0.0,12.0,16.0,674.0,911.0,62.0,0.0,10.0,,,,,,
08/05/2021,Time Bazar,480,22,129,Saturday,1.0,12.0,12.0,935.0,674.0,22.0,0.0,4.0,,,,,,
09/05/2021,Time Bazar,468,83,689,Sunday,1.0,18.0,23.0,913.0,134.0,38.0,0.0,7.0,,,,,,
10/05/2021,Time Bazar,579,14,590,Monday,0.0,21.0,14.0,24.0,45.0,41.0,0.0,8.0,,,,,,
11/05/2021,Time Bazar,350,82,570,Tuesday,0.0,8.0,12.0,805.0,25.0,28.0,0.0,9.0,,,,,,
12/05/2021,Time Bazar,788,30,334,Wednesday,0.0,23.0,10.0,233.0,889.0,3.0,0.0,7.0,,,,,,
13/05/2021,Time Bazar,890,78,369,Thursday,0.0,17.0,18.0,345.0,814.0,87.0,0.0,12.0,,,,,,
14/05/2021,Time Bazar,138,25,366,Friday,0.0,12.0,15.0,683.0,811.0,52.0,0.0,8.0,,,,,,
15/05/2021,Time Bazar,233,89,900,Saturday,1.0,8.0,9.0,788.0,455.0,98.0,0.0,10.0,,,,,,
16/05/2021,Time Bazar,246,21,155,Sunday,1.0,12.0,11.0,791.0,600.0,12.0,0.0,14.0,,,,,,
17/05/2021,Time Bazar,458,79,135,Monday,0.0,17.0,9.0,903.0,680.0,97.0,0.0,13.0,,,,,,
18/05/2021,Time Bazar,399,14,257,Tuesday,0.0,21.0,14.0,844.0,702.0,41.0,0.0,11.0,,,,,,
19/05/2021,Time Bazar,157,38,260,Wednesday,0.0,13.0,8.0,602.0,715.0,83.0,0.0,6.0,,,,,,
20/05/2021,Time Bazar,277,67,458,Thursday,0.0,16.0,17.0,722.0,903.0,76.0,0.0,4.0,,,,,,
21/05/2021,Time Bazar,688,21,588,Friday,0.0,22.0,21.0,133.0,33.0,12.0,0.0,10.0,,,,,,
22/05/2021,Time Bazar,457,65,230,Saturday,1.0,16.0,5.0,902.0,785.0,56.0,0.0,8.0,,,,,,
23/05/2021,Time Bazar,590,41,236,Sunday,1.0,14.0,11.0,45.0,781.0,14.0,0.0,6.0,,,,,,
24/05/2021,Time Bazar,789,43,148,Monday,0.0,24.0,13.0,234.0,693.0,34.0,0.0,2.0,,,,,,
25/05/2021,Time Bazar,146,14,338,Tuesday,0.0,11.0,14.0,691.0,883.0,41.0,0.0,4.0,,,,,,
26/05/2021,Time Bazar,149,46,330,Wednesday,0.0,14.0,6.0,694.0,885.0,64.0,0.0,5.0,,,,,,
27/05/2021,Time Bazar,239,41,236,Thursday,0.0,14.0,11.0,784.0,781.0,14.0,0.0,5.0,,,,,,
28/05/2021,Time Bazar,800,80,136,Friday,0.0,8.0,10.0,355.0,681.0,8.0,0.0,5.0,,,,,,
29/05/2021,Time Bazar,379,94,130,Saturday,1.0,19.0,4.0,824.0,685.0,49.0,0.0,5.0,,,,,,
30/05/2021,Time Bazar,124,79,450,Sunday,1.0,7.0,9.0,679.0,905.0,97.0,0.0,7.0,,,,,,
31/05/2021,Time Bazar,128,19,225,Monday,0.0,11.0,9.0,673.0,770.0,91.0,0.0,6.0,,,,,,
01/06/2021,Time Bazar,780,51,245,Tuesday,0.0,15.0,11.0,235.0,790.0,15.0,0.0,12.0,,,,,,
02/06/2021,Time Bazar,158,45,140,Wednesday,0.0,14.0,5.0,603.0,695.0,54.0,0.0,5.0,,,,,,
03/06/2021,Time Bazar,480,25,159,Thursday,0.0,12.0,15.0,935.0,604.0,52.0,0.0,2.0,,,,,,
04/06/2021,Time Bazar,129,22,246,Friday,0.0,12.0,12.0,674.0,791.0,22.0,0.0,3.0,,,,,,
05/06/2021,Time Bazar,278,76,150,Saturday,1.0,17.0,6.0,723.0,605.0,67.0,0.0,9.0,,,,,,
06/06/2021,Time Bazar,130,45,267,Sunday,1.0,4.0,15.0,685.0,712.0,54.0,0.0,4.0,,,,,,
07/06/2021,Time Bazar,379,99,450,Monday,0.0,19.0,9.0,824.0,905.0,99.0,0.0,9.0,,,,,,
08/06/2021,Time Bazar,369,86,367,Tuesday,0.0,18.0,16.0,814.0,812.0,68.0,0.0,4.0,,,,,,
09/06/2021,Time Bazar,470,13,120,Wednesday,0.0,11.0,3.0,925.0,675.0,31.0,0.0,10.0,,,,,,
10/06/2021,Time Bazar,379,99,478,Thursday,0.0,19.0,19.0,824.0,923.0,99.0,0.0,14.0,,,,,,
11/06/2021,Time Bazar,130,47,250,Friday,0.0,4.0,7.0,685.0,705.0,74.0,0.0,7.0,,,,,,
12/06/2021,Time Bazar,158,40,280,Saturday,1.0,14.0,10.0,603.0,735.0,4.0,0.0,7.0,,,,,,
13/06/2021,Time Bazar,125,81,146,Sunday,1.0,8.0,11.0,670.0,691.0,18.0,0.0,5.0,,,,,,
14/06/2021,Time Bazar,236,11,236,Monday,0.0,11.0,11.0,781.0,781.0,11.0,0.0,7.0,,,,,,
15/06/2021,Time Bazar,125,81,380,Tuesday,0.0,8.0,11.0,670.0,835.0,18.0,0.0,7.0,,,,,,
16/06/2021,Time Bazar,679,22,345,Wednesday,0.0,22.0,12.0,124.0,890.0,22.0,0.0,7.0,,,,,,
17/06/2021,Time Bazar,477,84,167,Thursday,0.0,18.0,14.0,922.0,612.0,48.0,0.0,8.0,,,,,,
18/06/2021,Time Bazar,167,48,125,Friday,0.0,14.0,8.0,612.0,670.0,84.0,0.0,8.0,,,,,,
19/06/2021,Time Bazar,469,94,220,Saturday,1.0,19.0,4.0,914.0,775.0,49.0,0.0,9.0,,,,,,
20/06/2021,Time Bazar,357,55,258,Sunday,1.0,15.0,15.0,802.0,703.0,55.0,0.0,5.0,,,,,,
21/06/2021,Time Bazar,334,06,466,Monday,0.0,10.0,16.0,889.0,911.0,60.0,0.0,6.0,,,,,,
22/06/2021,Time Bazar,688,23,445,Tuesday,0.0,22.0,13.0,133.0,990.0,32.0,0.0,5.0,,,,,,
23/06/2021,Time Bazar,470,10,677,Wednesday,0.0,11.0,20.0,925.0,122.0,1.0,0.0,4.0,,,,,,
24/06/2021,Time Bazar,358,61,560,Thursday,0.0,16.0,11.0,803.0,15.0,16.0,0.0,6.0,,,,,,
25/06/2021,Time Bazar,488,09,559,Friday,0.0,20.0,19.0,933.0,4.0,90.0,0.0,14.0,,,,,,
26/06/2021,Time Bazar,367,64,446,Saturday,1.0,16.0,14.0,812.0,991.0,46.0,0.0,11.0,,,,,,
27/06/2021,Time Bazar,358,61,128,Sunday,1.0,16.0,11.0,803.0,673.0,16.0,0.0,3.0,,,,,,
28/06/2021,Time Bazar,258,55,177,Monday,0.0,15.0,15.0,703.0,622.0,55.0,0.0,5.0,,,,,,
29/06/2021,Time Bazar,450,99,360,Tuesday,0.0,9.0,9.0,905.0,815.0,99.0,0.0,8.0,,,,,,
30/06/2021,Time Bazar,557,72,390,Wednesday,0.0,17.0,12.0,2.0,845.0,27.0,0.0,9.0,,,,,,
01/07/2021,Time Bazar,120,39,180,Thursday,0.0,3.0,9.0,675.0,635.0,93.0,0.0,11.0,,,,,,
02/07/2021,Time Bazar,580,36,358,Friday,0.0,13.0,16.0,35.0,803.0,63.0,0.0,3.0,,,,,,
03/07/2021,Time Bazar,156,25,267,Saturday,1.0,12.0,15.0,601.0,712.0,52.0,0.0,2.0,,,,,,
04/07/2021,Time Bazar,390,25,159,Sunday,1.0,12.0,15.0,845.0,604.0,52.0,0.0,0.0,,,,,,
05/07/2021,Time Bazar,280,07,115,Monday,0.0,10.0,7.0,735.0,660.0,70.0,0.0,4.0,,,,,,
06/07/2021,Time Bazar,122,56,367,Tuesday,0.0,5.0,16.0,677.0,812.0,65.0,0.0,6.0,,,,,,
07/07/2021,Time Bazar,278,76,259,Wednesday,0.0,17.0,16.0,723.0,704.0,67.0,0.0,2.0,,,,,,
08/07/2021,Time Bazar,389,01,560,Thursday,0.0,20.0,11.0,834.0,15.0,10.0,0.0,12.0,,,,,,
09/07/2021,Time Bazar,445,39,135,Friday,0.0,13.0,9.0,990.0,680.0,93.0,0.0,11.0,,,,,,
10/07/2021,Time Bazar,689,32,660,Saturday,1.0,23.0,12.0,134.0,115.0,23.0,0.0,7.0,,,,,,
11/07/2021,Time Bazar,234,90,235,Sunday,1.0,9.0,10.0,789.0,780.0,9.0,0.0,8.0,,,,,,
12/07/2021,Time Bazar,470,16,150,Monday,0.0,11.0,6.0,925.0,605.0,61.0,0.0,14.0,,,,,,
13/07/2021,Time Bazar,180,92,660,Tuesday,0.0,9.0,12.0,635.0,115.0,29.0,0.0,12.0,,,,,,
14/07/2021,Time Bazar,116,89,360,Wednesday,0.0,8.0,9.0,661.0,815.0,98.0,0.0,8.0,,,,,,
15/07/2021,Time Bazar,167,44,149,Thursday,0.0,14.0,14.0,612.0,694.0,44.0,0.0,9.0,,,,,,
16/07/2021,Time Bazar,179,71,678,Friday,0.0,17.0,21.0,624.0,123.0,17.0,0.0,6.0,,,,,,
17/07/2021,Time Bazar,368,71,128,Saturday,1.0,17.0,11.0,813.0,673.0,17.0,0.0,0.0,,,,,,
18/07/2021,Time Bazar,690,57,377,Sunday,1.0,15.0,17.0,145.0,822.0,75.0,0.0,8.0,,,,,,
19/07/2021,Time Bazar,490,37,340,Monday,0.0,13.0,7.0,945.0,895.0,73.0,0.0,2.0,,,,,,
20/07/2021,Time Bazar,145,05,249,Tuesday,0.0,10.0,15.0,690.0,794.0,50.0,0.0,5.0,,,,,,
21/07/2021,Time Bazar,344,18,369,Wednesday,0.0,11.0,18.0,899.0,814.0,81.0,0.0,4.0,,,,,,
22/07/2021,Time Bazar,125,81,128,Thursday,0.0,8.0,11.0,670.0,673.0,18.0,0.0,14.0,,,,,,
23/07/2021,Time Bazar,379,97,890,Friday,0.0,19.0,17.0,824.0,345.0,79.0,0.0,7.0,,,,,,
24/07/2021,Time Bazar,229,36,358,Saturday,1.0,13.0,16.0,774.0,803.0,63.0,0.0,7.0,,,,,,
25/07/2021,Time Bazar,113,54,220,Sunday,1.0,5.0,4.0,668.0,775.0,45.0,0.0,4.0,,,,,,
26/07/2021,Time Bazar,188,75,357,Monday,0.0,17.0,15.0,633.0,802.0,57.0,0.0,3.0,,,,,,
27/07/2021,Time Bazar,690,52,129,Tuesday,0.0,15.0,12.0,145.0,674.0,25.0,0.0,5.0,,,,,,
28/07/2021,Time Bazar,599,33,580,Wednesday,0.0,23.0,13.0,44.0,35.0,33.0,0.0,3.0,,,,,,
29/07/2021,Time Bazar,359,70,370,Thursday,0.0,17.0,10.0,804.0,825.0,7.0,0.0,7.0,,,,,,
30/07/2021,Time Bazar,349,64,446,Friday,0.0,16.0,14.0,894.0,991.0,46.0,0.0,5.0,,,,,,
31/07/2021,Time Bazar,668,00,244,Saturday,1.0,20.0,10.0,113.0,799.0,0.0,0.0,10.0,,,,,,
01/08/2021,Time Bazar,470,18,990,Sunday,1.0,11.0,18.0,925.0,445.0,81.0,0.0,9.0,,,,,,
02/08/2021,Time Bazar,688,20,145,Monday,0.0,22.0,10.0,133.0,690.0,2.0,0.0,9.0,,,,,,
03/08/2021,Time Bazar,146,14,112,Tuesday,0.0,11.0,4.0,691.0,667.0,41.0,0.0,5.0,,,,,,
04/08/2021,Time Bazar,125,82,570,Wednesday,0.0,8.0,12.0,670.0,25.0,28.0,0.0,9.0,,,,,,
05/08/2021,Time Bazar,790,62,589,Thursday,0.0,16.0,22.0,245.0,34.0,26.0,0.0,2.0,,,,,,
06/08/2021,Time Bazar,990,82,255,Friday,0.0,18.0,12.0,445.0,700.0,28.0,0.0,2.0,,,,,,
07/08/2021,Time Bazar,349,68,170,Saturday,1.0,16.0,8.0,894.0,625.0,86.0,0.0,8.0,,,,,,
08/08/2021,Time Bazar,260,80,136,Sunday,1.0,8.0,10.0,715.0,681.0,8.0,0.0,10.0,,,,,,
09/08/2021,Time Bazar,389,07,458,Monday,0.0,20.0,17.0,834.0,903.0,70.0,0.0,15.0,,,,,,
10/08/2021,Time Bazar,236,18,350,Tuesday,0.0,11.0,8.0,781.0,805.0,81.0,0.0,2.0,,,,,,
